crop,area_ha,rainfall,temp_mean,humidity,soil_ph,nitrogen,phosphorus,potassium,ndvi_mean,ndwi_mean,ndmi_mean,yield_prediction,disease_probability,historical_loss,risk_score
cotton,5.871,1042.72,24.12,59.92,7.12,268.67,23.25,274.14,0.7792,-0.0151,0.3232,2.534,0.11,0.1435,26.01
soybean,5.742,932.97,35.6,74.61,7.71,222.24,35.88,134.32,0.5801,-0.1829,0.172,2.451,0.1798,0.2239,79.1
rice,4.116,582.69,25.94,93.97,6.17,143.79,16.99,186.13,0.7549,0.0119,0.3035,6.19,0.2309,0.1768,37.22
chickpea,5.927,447.27,15.0,46.41,7.14,299.17,20.74,170.95,0.6573,0.2236,0.4836,2.955,0.0296,0.0,27.81
wheat,7.936,831.73,27.79,94.99,6.7,238.17,25.05,238.48,0.7291,-0.2175,0.1028,5.13,0.4676,0.1333,34.91
cotton,2.888,644.66,21.98,77.18,6.37,213.04,13.23,321.6,0.6959,0.1769,0.2999,2.618,0.3366,0.1974,37.29
cotton,5.787,617.72,21.56,43.19,6.39,257.3,20.81,121.98,0.6974,0.0364,0.204,2.452,0.0588,0.0397,21.78
soybean,8.045,413.53,26.44,60.75,6.25,165.88,20.98,222.34,0.7092,-0.1516,0.2219,4.486,0.1198,0.184,36.35
chickpea,8.886,176.84,29.01,73.37,6.85,240.19,22.92,218.97,0.6014,-0.2172,0.2216,2.725,0.4391,0.1671,50.9
soybean,6.976,678.66,27.12,43.27,7.24,199.76,15.37,181.25,0.5967,-0.0681,0.2108,3.81,0.0722,0.1461,40.78
maize,6.986,596.22,26.25,53.59,6.48,125.16,19.99,193.57,0.7102,-0.0271,0.2078,6.142,0.0555,0.0897,24.71
cotton,9.068,307.29,28.21,62.27,7.39,76.63,18.75,211.11,0.6419,-0.0847,0.1818,2.934,0.0585,0.0429,43.37
soybean,2.31,711.94,25.23,30.1,6.61,220.76,14.95,201.84,0.6322,-0.0691,0.202,3.806,0.0338,0.1792,28.76
soybean,5.855,613.93,26.7,64.67,6.16,331.5,43.12,128.32,0.8235,-0.1015,0.2255,4.386,0.1115,0.251,29.06
cotton,1.891,700.2,25.83,75.84,7.01,214.58,26.95,167.8,0.5674,0.0159,0.2587,2.612,0.0925,0.158,32.68
soybean,5.872,519.62,30.26,61.84,8.2,223.18,27.25,227.16,0.4689,-0.1579,0.24,3.599,0.306,0.1468,67.96
wheat,5.703,533.82,31.31,77.86,5.52,256.67,15.06,157.18,0.6184,-0.2861,0.1739,4.749,0.2829,0.3508,67.54
cotton,7.972,465.33,23.9,45.75,7.86,297.72,32.4,60.3,0.7602,-0.048,0.3345,2.688,0.0511,0.0168,18.39
maize,6.428,439.52,25.29,79.91,7.01,234.88,20.56,192.88,0.6903,0.1424,0.258,6.668,0.1892,0.1611,25.18
wheat,5.772,858.29,21.19,66.39,7.1,233.73,25.99,134.26,0.7637,0.1524,0.317,5.201,0.0413,0.1648,17.71
soybean,5.668,392.07,23.88,81.16,5.82,238.87,17.3,87.76,0.7059,0.0577,0.5144,3.482,0.2236,0.1189,43.36
chickpea,1.163,798.03,26.38,87.52,7.01,232.41,45.61,198.04,0.8015,-0.0066,0.2385,3.298,0.2824,0.2152,25.03
cotton,9.876,504.59,27.54,55.89,5.73,289.81,34.28,226.15,0.5929,-0.16,0.2269,2.623,0.0789,0.1565,47.78
cotton,1.605,417.41,32.39,49.31,6.99,249.2,26.64,143.67,0.7833,-0.1958,0.3461,2.149,0.1112,0.0597,25.48
cotton,6.665,265.67,32.55,48.63,7.98,294.07,27.87,144.59,0.4482,-0.2682,0.1133,2.222,0.1045,0.1701,66.77
wheat,9.903,612.12,27.46,77.47,7.12,450.0,22.5,240.03,0.7919,0.1102,0.2469,5.364,0.1221,0.0644,19.12
wheat,5.072,810.36,26.86,43.42,6.26,331.06,14.8,131.36,0.6817,-0.1804,0.1848,4.884,0.0267,0.0366,23.48
maize,2.244,150.0,36.91,49.36,7.02,280.26,32.63,91.37,0.6867,-0.4604,0.1367,4.022,0.0838,0.219,51.13
chickpea,4.06,811.25,27.38,75.14,6.54,288.66,22.17,114.2,0.5802,-0.0726,0.2123,3.312,0.3246,0.2423,51.79
cotton,2.223,359.91,32.02,68.57,7.67,286.77,13.81,242.16,0.7207,-0.197,0.1215,2.038,0.2234,0.138,60.42
soybean,3.394,671.01,31.84,69.45,8.2,258.77,25.95,309.91,0.9163,-0.3193,0.2139,3.247,0.1368,0.3048,62.85
chickpea,3.278,403.09,34.4,83.32,7.01,167.03,26.46,158.44,0.663,-0.3709,0.2141,1.77,0.1633,0.2838,56.32
wheat,3.164,233.3,28.65,78.2,7.28,249.05,31.73,190.8,0.8425,-0.1589,0.1856,5.009,0.2721,0.0438,21.5
rice,1.164,799.67,29.91,83.61,6.64,227.81,46.61,114.85,0.6749,-0.2119,0.1961,5.587,0.2525,0.2285,34.5
soybean,0.712,881.63,21.78,72.91,6.04,282.09,18.89,139.13,0.7923,0.2325,0.4635,3.478,0.0659,0.0,26.15
maize,9.127,361.23,31.87,66.63,6.7,149.47,24.2,216.84,0.74,-0.0791,0.385,4.766,0.2264,0.0728,37.74
soybean,7.636,843.89,28.51,69.19,6.05,148.04,26.14,234.99,0.7271,-0.1377,0.2473,4.095,0.2519,0.3305,55.94
wheat,9.429,1322.73,29.73,81.77,6.13,266.7,19.34,202.92,0.7486,-0.1549,0.3289,4.122,0.3656,0.4081,68.21
wheat,6.073,402.95,32.11,69.22,6.99,341.01,34.75,127.01,0.787,-0.2147,0.1717,4.259,0.1775,0.21,40.79
maize,8.689,188.74,30.62,58.65,6.98,212.26,30.18,159.94,0.6886,-0.0924,0.089,5.489,0.232,0.248,46.52
wheat,2.675,887.01,27.67,62.21,7.26,200.8,14.66,168.83,0.6428,-0.2001,0.1428,5.057,0.0934,0.2716,38.4
wheat,5.979,696.99,33.48,86.54,6.19,217.21,24.31,191.85,0.6404,-0.3047,0.0883,4.399,0.508,0.3141,72.95
wheat,3.818,407.28,35.7,67.69,5.57,181.64,12.6,166.37,0.5897,-0.4414,0.0907,2.678,0.447,0.336,90.9
rice,2.472,433.18,20.92,63.51,7.35,312.53,27.91,181.39,0.8574,0.0987,0.2546,6.011,0.0665,0.045,20.61
chickpea,9.395,766.57,23.67,91.76,6.98,247.61,18.24,263.97,0.7374,0.0237,0.2409,3.111,0.2066,0.1483,23.52
rice,5.812,264.84,34.32,77.38,6.54,235.02,16.44,171.45,0.716,-0.1559,0.2462,3.138,0.3272,0.3769,74.52
rice,1.34,882.99,23.91,38.88,6.73,236.99,29.1,191.21,0.848,-0.0677,0.1761,5.417,0.0303,0.1421,18.34
maize,4.501,861.66,32.01,65.06,6.94,321.38,31.66,207.81,0.66,-0.335,0.143,5.037,0.206,0.2109,46.56
cotton,8.102,751.24,23.13,69.42,5.2,245.66,24.85,139.25,0.6378,0.1086,0.2276,2.31,0.0796,0.0016,45.98
chickpea,1.451,235.68,26.1,98.0,7.54,236.03,39.11,171.24,0.6418,-0.0124,0.2196,2.642,0.2967,0.0706,37.42
soybean,2.772,525.85,24.33,32.42,7.87,264.66,32.11,270.96,0.7786,-0.0337,0.2804,3.657,0.03,0.2608,22.59
chickpea,3.047,150.0,30.07,42.25,6.2,206.36,30.5,192.12,0.6901,-0.153,0.1307,2.587,0.0667,0.1042,28.41
maize,5.25,854.04,29.35,74.62,7.79,197.54,19.02,146.18,0.5776,-0.1155,0.3213,6.661,0.3513,0.1408,52.94
rice,8.616,539.17,28.83,69.57,8.2,261.48,20.28,181.11,0.7282,-0.1481,0.1184,6.059,0.3071,0.1804,55.14
rice,9.927,586.81,26.9,25.88,4.82,334.5,27.6,231.84,0.6649,-0.2889,0.2551,6.12,0.0867,0.0,35.89
chickpea,9.67,694.87,35.89,84.91,6.54,207.83,27.8,271.16,0.7239,-0.3446,0.1249,1.82,0.4189,0.2794,70.05
rice,3.399,775.4,24.05,78.36,6.37,270.73,25.83,126.29,0.6182,-0.0603,0.3141,6.08,0.135,0.1125,36.33
chickpea,6.048,750.15,27.76,58.36,6.36,229.72,16.39,218.27,0.6988,-0.2079,0.2915,3.401,0.1768,0.0,28.23
wheat,7.129,802.1,15.0,72.19,6.47,317.39,38.49,238.27,0.849,0.2282,0.5253,5.308,0.0304,0.2269,17.81
rice,9.961,811.89,30.66,79.53,6.67,227.96,17.39,89.79,0.6827,-0.1273,0.1479,5.826,0.2022,0.1328,29.55
chickpea,5.366,410.25,31.73,83.19,7.91,192.62,25.34,313.35,0.6174,-0.1938,0.1639,2.208,0.2408,0.2103,54.51
wheat,4.688,812.39,18.24,65.33,6.95,249.54,8.36,188.15,0.7151,0.3376,0.4329,5.131,0.0987,0.1806,29.01
wheat,1.144,1066.35,25.5,81.13,6.95,341.22,29.66,154.37,0.8571,-0.1678,0.2802,5.011,0.2319,0.2126,19.47
cotton,2.927,800.29,26.67,89.7,6.36,300.84,22.05,196.2,0.7352,-0.0826,0.154,2.624,0.2503,0.07,23.69
rice,1.158,995.57,24.83,80.72,6.48,292.53,30.28,284.81,0.7153,0.0025,0.4364,5.665,0.1735,0.1523,24.0
maize,8.167,980.93,27.22,82.65,7.45,166.32,20.8,206.64,0.6574,-0.1472,0.3053,5.723,0.3573,0.2595,65.54
maize,8.303,683.27,20.59,76.43,6.83,268.37,25.4,177.29,0.7298,0.0972,0.5369,6.311,0.1861,0.1212,28.04
wheat,6.464,997.72,19.85,54.5,6.33,193.61,20.9,238.14,0.7108,0.2307,0.5266,5.087,0.1639,0.0,28.58
wheat,9.321,242.87,24.92,88.19,6.57,268.96,30.22,117.54,0.5653,-0.0323,0.2651,4.403,0.2377,0.3123,47.43
chickpea,7.227,712.95,26.63,63.83,7.07,260.24,32.75,265.1,0.7957,-0.0202,0.3735,2.816,0.0996,0.1709,27.37
cotton,4.965,674.18,19.68,91.53,6.94,172.89,35.31,258.5,0.7478,0.062,0.391,2.728,0.0921,0.1006,19.59
chickpea,7.075,844.69,37.26,61.23,6.73,199.17,28.39,221.75,0.5915,-0.4822,0.1511,1.087,0.2028,0.4355,78.8
soybean,2.281,344.55,31.14,46.46,6.09,255.22,19.08,143.06,0.6277,-0.3291,0.1746,2.728,0.1521,0.2557,53.53
wheat,5.45,849.53,21.9,40.17,7.25,210.29,17.86,239.87,0.7721,0.0507,0.3837,5.491,0.0295,0.1732,27.84
wheat,7.501,1084.73,22.76,64.26,6.22,246.46,21.4,267.93,0.7979,0.0881,0.3012,5.296,0.0704,0.1449,27.58
rice,8.705,338.54,27.43,67.75,8.2,143.07,29.36,91.76,0.527,-0.1238,0.2021,5.523,0.2075,0.0114,65.1
rice,8.95,675.18,29.11,85.96,6.89,264.21,24.52,205.8,0.7618,-0.2059,0.1579,5.876,0.2029,0.1399,26.1
wheat,0.663,512.56,21.52,68.92,5.7,271.4,25.2,267.66,0.7544,0.0246,0.2722,5.056,0.0537,0.1821,28.26
soybean,5.73,420.06,21.08,71.04,7.27,197.89,22.63,174.9,0.73,0.0321,0.2634,3.481,0.0846,0.1231,31.4
rice,9.91,1013.79,33.56,86.69,6.8,317.38,31.54,189.82,0.5818,-0.2617,0.1333,3.886,0.2884,0.1838,60.7
wheat,0.702,150.0,34.09,87.91,7.05,170.13,28.57,164.61,0.7036,-0.3786,0.1821,3.157,0.4868,0.1133,62.75
rice,5.124,477.04,28.17,71.95,6.55,357.2,26.13,117.05,0.6686,-0.2481,0.1666,5.59,0.1612,0.1918,36.19
cotton,4.796,687.32,27.96,69.41,6.96,346.27,20.64,270.94,0.9256,-0.0189,0.3363,2.318,0.1076,0.2988,24.04
chickpea,1.226,709.6,39.88,59.0,7.47,232.33,5.0,238.9,0.6422,-0.587,0.1011,1.585,0.3842,0.4957,92.11
soybean,3.552,850.33,23.1,97.35,6.94,309.46,20.0,180.13,0.6444,-0.024,0.3379,4.287,0.1322,0.153,28.38
wheat,3.258,363.52,32.47,71.43,6.38,204.53,9.96,226.8,0.5765,-0.2777,0.0504,3.772,0.2319,0.1521,66.38
maize,9.613,1156.95,23.11,71.92,5.38,236.73,15.33,135.79,0.7557,-0.0801,0.2732,6.157,0.1204,0.1466,46.2
rice,6.564,919.4,27.21,61.9,7.14,198.22,28.84,252.4,0.7684,-0.0863,0.1128,6.188,0.0775,0.0879,23.72
chickpea,2.495,977.56,34.89,61.15,6.73,182.83,26.19,225.73,0.5371,-0.5137,-0.0163,1.979,0.2012,0.2243,68.35
wheat,7.71,847.35,26.75,80.8,6.47,247.17,30.9,59.77,0.6251,-0.0201,0.3605,5.377,0.2537,0.2099,44.57
rice,6.713,870.85,23.89,61.79,6.75,227.3,40.68,201.56,0.8573,0.003,0.3392,6.002,0.1458,0.1168,13.89
maize,7.787,497.82,28.14,67.59,6.74,208.21,14.95,165.51,0.8093,-0.1296,0.1668,6.367,0.0887,0.0,22.29
chickpea,2.006,595.76,18.56,65.35,5.88,387.89,21.27,197.35,0.7975,0.2111,0.4086,2.873,0.0568,0.2085,22.77
maize,4.862,608.1,27.56,53.62,6.93,272.73,13.64,187.28,0.756,0.0313,0.4247,6.361,0.0688,0.2384,26.91
rice,9.124,689.25,27.6,61.07,5.77,181.73,28.33,200.55,0.5186,-0.1898,0.2165,5.578,0.1808,0.1823,62.19
wheat,3.119,455.22,32.42,98.0,7.3,180.57,31.2,243.93,0.6535,-0.1087,0.2305,4.308,0.6727,0.5273,86.61
chickpea,6.361,648.95,29.89,79.7,7.27,136.12,29.32,119.91,0.6493,-0.0501,0.2435,2.764,0.1662,0.1669,46.33
rice,9.514,425.6,26.49,46.16,7.39,387.83,36.64,112.68,0.7513,-0.1607,0.1849,5.502,0.1151,0.1856,24.66
maize,2.159,715.72,26.93,71.36,5.16,297.9,17.95,174.32,0.7926,-0.1024,0.2995,6.522,0.0947,0.2215,46.3
wheat,5.165,648.99,21.22,64.78,6.38,361.57,28.79,171.04,0.7308,0.0393,0.5167,5.186,0.1055,0.16,16.93
cotton,0.927,690.66,26.43,56.67,7.06,256.75,23.46,105.56,0.5967,-0.0833,0.2325,2.459,0.1549,0.1175,40.14
chickpea,5.491,873.21,32.11,92.21,5.26,309.93,24.45,200.11,0.675,-0.1999,0.1677,2.447,0.3537,0.3333,79.85
soybean,7.248,316.42,29.6,42.2,7.07,269.21,5.0,113.31,0.6619,-0.1978,0.2482,3.297,0.0584,0.2368,51.49
chickpea,4.569,1134.82,34.53,65.22,7.37,182.26,20.46,139.23,0.6002,-0.5142,0.1799,2.196,0.3168,0.3719,82.17
rice,8.946,1153.03,28.01,62.78,6.56,215.83,16.53,216.51,0.7246,-0.157,0.3532,5.698,0.1108,0.0,13.62
rice,4.0,775.01,33.29,73.76,5.7,182.17,24.27,238.57,0.7783,-0.2569,0.1844,4.45,0.2218,0.3627,66.07
maize,8.744,635.84,20.49,54.4,6.36,199.51,36.35,234.95,0.7984,0.0384,0.2855,6.653,0.0523,0.2726,25.35
wheat,5.558,732.22,20.24,71.23,6.43,212.1,30.62,135.11,0.6192,0.106,0.2704,5.25,0.0904,0.0,33.66
wheat,1.932,1301.36,28.7,87.82,8.0,187.84,19.26,108.38,0.7637,-0.3045,0.3071,5.112,0.3595,0.1501,55.9
cotton,9.02,367.25,27.81,66.59,7.05,354.55,13.34,214.12,0.6004,-0.1332,0.2008,2.465,0.274,0.2859,45.31
maize,8.879,675.76,32.92,56.1,6.38,103.16,12.29,50.0,0.5792,-0.1835,0.2699,5.71,0.2574,0.2199,66.7
chickpea,3.16,272.35,25.53,60.54,7.02,200.82,18.36,150.49,0.6665,-0.1173,0.3935,3.016,0.1265,0.159,37.33
maize,9.314,758.99,33.31,60.82,7.51,120.53,26.16,196.86,0.6393,-0.356,0.1546,4.482,0.2017,0.2581,76.34
cotton,1.572,358.28,28.56,78.61,7.27,296.97,27.71,71.13,0.7861,-0.172,0.1756,2.561,0.1156,0.0823,28.19
maize,3.965,1110.75,29.33,42.28,7.18,263.02,20.38,177.63,0.654,-0.2901,0.1874,4.833,0.0822,0.1142,34.36
maize,1.683,716.86,26.09,70.96,7.87,304.76,13.68,327.66,0.6581,-0.1343,0.2264,6.664,0.1992,0.2008,31.7
maize,2.57,247.9,26.06,69.66,5.93,198.99,17.65,113.47,0.5928,-0.0015,0.2993,5.689,0.2755,0.1383,42.57
cotton,9.392,491.82,29.17,57.7,6.09,329.79,33.24,115.41,0.6069,-0.2709,0.1339,2.396,0.1607,0.1465,46.14
rice,2.518,536.3,33.83,69.14,6.49,167.47,24.68,244.42,0.6729,-0.2065,0.0913,4.18,0.1385,0.2281,63.42
chickpea,2.914,1113.14,24.28,68.48,6.37,225.64,26.43,175.25,0.7158,-0.0096,0.3338,2.736,0.0844,0.2113,30.82
cotton,7.549,923.47,23.57,61.55,7.94,185.95,17.61,212.63,0.662,-0.0909,0.3731,2.374,0.202,0.1038,49.59
cotton,6.133,480.17,21.49,98.0,6.34,186.51,21.63,238.65,0.8603,0.1874,0.3476,2.51,0.2026,0.2356,32.38
wheat,5.937,482.0,25.53,60.23,5.85,289.99,17.39,163.83,0.6734,-0.0274,0.3445,4.878,0.1494,0.0,33.91
wheat,9.427,529.81,25.42,98.0,6.6,196.99,31.21,169.63,0.7069,-0.0648,0.2863,5.47,0.198,0.06,25.67
soybean,8.89,409.91,24.46,70.3,8.2,224.07,38.81,127.76,0.7511,-0.0831,0.2283,4.236,0.093,0.1074,29.14
rice,5.355,324.03,19.82,76.45,6.54,207.65,18.38,92.51,0.6792,0.1294,0.3267,4.868,0.0668,0.0814,33.87
rice,7.739,684.84,30.59,81.65,5.68,196.65,43.43,211.92,0.7014,-0.2897,0.3188,5.429,0.1381,0.11,46.85
wheat,0.828,449.29,33.41,74.86,6.23,247.42,11.42,119.66,0.6077,-0.1995,0.1749,4.046,0.2904,0.4086,76.71
cotton,7.088,893.42,24.46,56.21,6.58,321.65,11.94,112.51,0.76,-0.0103,0.1871,2.76,0.1164,0.0402,18.97
cotton,5.813,872.4,29.65,61.98,5.65,244.24,14.99,258.81,0.6768,-0.1526,0.2041,2.538,0.1645,0.096,45.38
chickpea,5.454,880.37,34.79,62.54,6.17,318.65,19.51,242.75,0.598,-0.2983,0.1494,2.421,0.1818,0.2603,63.81
maize,9.755,813.15,18.08,66.66,6.71,268.5,26.42,112.78,0.837,0.3059,0.3063,6.666,0.0613,0.0241,14.95
maize,0.922,442.73,33.57,57.02,7.33,238.95,29.27,195.62,0.6221,-0.4376,0.0406,3.875,0.1633,0.2519,62.38
soybean,5.676,867.26,34.73,70.39,7.1,231.14,37.72,187.7,0.593,-0.4037,0.0421,2.864,0.2724,0.2666,60.26
maize,2.051,824.72,20.04,77.3,7.02,277.96,32.89,277.66,0.803,0.1028,0.3124,5.99,0.0583,0.0504,17.27
wheat,7.062,457.94,29.55,73.88,5.91,293.37,36.23,190.61,0.651,-0.108,0.2563,4.335,0.2721,0.1939,60.01
rice,2.63,478.23,36.06,53.72,6.01,196.44,27.13,209.43,0.6985,-0.2272,0.156,4.325,0.3597,0.354,69.43
rice,4.633,591.04,26.99,64.66,5.67,204.29,45.02,202.15,0.7247,-0.0492,0.4664,5.926,0.3547,0.3896,58.38
chickpea,0.847,774.91,24.86,59.34,5.97,224.53,17.4,213.32,0.7171,-0.0556,0.256,2.559,0.0831,0.1357,31.45
chickpea,6.645,888.46,29.82,58.18,6.83,248.93,5.0,172.89,0.7249,-0.2732,0.384,2.941,0.2844,0.3187,47.2
soybean,3.34,784.53,29.88,48.95,7.04,173.98,32.95,180.79,0.6525,-0.0984,0.2971,3.578,0.089,0.2042,45.86
rice,1.885,908.75,27.31,77.95,6.81,60.0,23.71,186.21,0.6253,-0.0882,0.1251,5.246,0.1093,0.1841,33.56
chickpea,1.673,452.49,26.24,53.26,6.35,175.12,17.32,139.65,0.5727,-0.0517,0.244,2.58,0.1606,0.1782,49.45
chickpea,7.552,1030.51,23.11,59.41,6.0,382.42,30.93,208.51,0.6665,-0.0569,0.1756,2.826,0.1364,0.306,38.42
maize,4.515,367.95,27.0,50.63,7.84,258.74,24.47,161.42,0.6983,-0.0595,0.154,6.285,0.0497,0.0292,42.55
maize,8.451,379.72,29.11,66.05,8.11,153.92,21.32,180.61,0.6311,-0.1898,0.2681,5.692,0.246,0.1396,47.53
soybean,1.372,589.6,32.4,59.13,7.77,340.61,27.12,153.43,0.7413,-0.3675,0.1489,3.445,0.2405,0.1737,60.45
cotton,7.409,693.26,34.87,73.42,6.56,195.16,34.16,181.82,0.4524,-0.2763,0.2444,1.681,0.5754,0.2156,76.73
maize,6.017,732.21,27.56,61.32,7.28,248.01,16.84,165.7,0.6943,-0.1584,0.2148,6.352,0.0564,0.2528,31.4
soybean,3.951,550.5,22.99,70.03,7.5,328.18,15.73,185.59,0.7763,0.01,0.4027,3.968,0.2195,0.2484,33.58
chickpea,0.681,486.96,31.07,53.25,6.19,196.22,12.83,201.9,0.743,-0.2698,0.1741,2.231,0.284,0.1767,48.36
wheat,1.552,615.93,30.25,29.06,6.14,325.35,13.86,122.23,0.6693,-0.2527,0.2604,5.112,0.1184,0.1359,31.67
rice,9.046,495.44,32.55,82.75,6.88,175.07,37.4,155.02,0.6159,-0.3667,0.1344,5.401,0.2059,0.3598,51.18
cotton,2.085,459.05,24.8,78.92,6.22,277.7,20.06,196.11,0.645,-0.0084,0.3207,2.809,0.192,0.0233,36.46
wheat,5.724,568.63,21.01,69.15,6.62,183.78,26.98,140.37,0.822,0.1378,0.4028,5.213,0.1296,0.1281,25.89
chickpea,7.711,558.33,23.99,77.34,7.18,315.43,46.63,277.26,0.8516,0.1019,0.3926,3.565,0.1368,0.1736,24.64
cotton,9.013,150.0,22.86,89.47,7.81,194.08,22.57,181.95,0.725,0.0387,0.4008,2.393,0.2382,0.1775,36.17
rice,8.205,714.79,27.73,69.76,6.41,234.33,42.15,192.29,0.7086,-0.1061,0.2698,6.041,0.2302,0.1476,29.27
wheat,4.785,691.95,22.85,66.43,6.39,144.4,18.84,64.25,0.5803,-0.0593,0.2139,4.931,0.1341,0.0411,43.77
cotton,3.694,1023.63,36.07,56.59,6.25,347.62,30.69,284.65,0.6336,-0.3871,0.1318,1.651,0.3756,0.3722,65.96
rice,7.271,440.82,24.98,74.23,7.7,80.46,28.51,218.35,0.6736,-0.0128,0.3491,5.856,0.2012,0.0951,38.07
wheat,1.941,917.27,30.18,66.63,6.85,195.99,20.59,173.69,0.5835,-0.2455,0.3419,4.434,0.316,0.1664,65.9
soybean,9.151,683.92,18.52,79.12,8.02,280.66,13.49,138.58,0.7111,0.1882,0.5633,3.22,0.2169,0.0687,47.56
chickpea,9.15,587.69,24.59,64.16,5.71,125.78,26.35,105.65,0.8766,0.0944,0.296,3.539,0.1093,0.0,34.61
wheat,3.949,686.29,20.24,98.0,7.18,220.09,37.05,177.64,0.5552,0.033,0.4312,5.649,0.5105,0.4515,66.48
maize,2.614,922.84,33.37,85.17,6.81,134.26,28.22,217.29,0.6028,-0.266,0.1873,4.746,0.7048,0.2472,71.21
wheat,7.366,844.28,26.05,80.75,6.52,216.93,12.13,198.73,0.7152,-0.0801,0.0904,5.644,0.1698,0.048,28.68
wheat,7.055,541.84,23.87,79.07,7.58,319.15,27.96,173.48,0.7651,0.0756,0.2543,5.204,0.0921,0.2734,27.61
rice,5.205,596.27,27.86,84.11,6.34,132.56,30.32,270.01,0.7842,-0.2017,0.2348,5.434,0.2219,0.3283,41.43
wheat,9.633,529.02,31.93,55.62,6.88,219.05,14.12,82.89,0.5793,-0.1755,0.0999,3.756,0.2241,0.2729,71.33
cotton,7.299,437.66,20.58,58.45,5.96,279.56,11.76,255.36,0.6584,0.1941,0.3704,2.294,0.0654,0.0,34.61
rice,8.613,642.23,25.45,59.17,7.19,212.54,33.55,86.01,0.8831,-0.0619,0.2595,5.637,0.0791,0.1686,23.64
wheat,5.13,444.1,29.63,79.45,6.42,231.28,36.86,198.79,0.6352,-0.1087,0.2075,4.202,0.2335,0.3142,59.92
cotton,4.978,696.47,30.8,79.27,7.56,365.73,13.09,135.05,0.711,-0.2693,0.2213,2.101,0.1483,0.3013,61.58
maize,6.963,995.85,23.73,46.88,5.53,159.85,28.29,176.83,0.6741,-0.0126,0.3303,6.187,0.0652,0.0418,39.22
soybean,5.401,1008.22,31.44,69.62,6.46,274.57,43.81,275.22,0.6912,-0.4852,0.1602,3.743,0.2055,0.2419,45.95
rice,8.238,463.21,27.93,57.02,6.24,190.14,33.62,221.29,0.5929,-0.0682,0.1197,6.022,0.0833,0.138,36.34
chickpea,2.092,627.1,23.18,61.33,6.1,268.48,36.66,226.38,0.7582,-0.1196,0.2908,3.117,0.0722,0.1249,17.28
maize,2.754,550.04,34.64,75.7,6.7,237.46,16.74,235.13,0.7319,-0.4709,0.309,5.066,0.2119,0.1745,41.08
cotton,2.169,845.21,23.61,70.04,7.73,217.6,31.6,253.47,0.7801,-0.015,0.2031,2.469,0.1012,0.1326,27.39
chickpea,6.099,574.23,22.05,87.8,5.79,317.43,15.42,126.67,0.8166,0.0844,0.3388,2.948,0.1251,0.1619,32.88
soybean,4.119,673.87,19.3,60.43,6.06,292.82,36.5,191.39,0.7946,0.2441,0.2502,3.668,0.0605,0.1136,19.47
maize,9.696,785.11,24.22,46.14,6.97,167.83,37.32,91.62,0.6689,-0.0691,0.0942,6.368,0.0652,0.1605,26.91
wheat,9.923,580.28,25.58,70.06,8.11,234.15,18.04,161.1,0.6877,-0.0334,0.158,5.024,0.1211,0.1751,49.27
maize,0.863,521.12,31.44,75.43,6.49,366.9,26.12,219.15,0.5749,-0.1451,0.3078,6.32,0.262,0.2067,44.65
rice,7.226,593.22,22.93,75.17,7.33,159.33,19.62,120.95,0.6723,-0.023,0.2466,6.111,0.0446,0.1461,34.93
wheat,2.664,846.24,32.54,44.46,6.6,180.23,24.96,298.47,0.6967,-0.2929,0.2732,4.844,0.1038,0.1781,31.92
maize,0.968,805.54,34.01,88.62,6.35,187.92,17.75,131.34,0.621,-0.254,0.0997,4.689,0.4085,0.3121,75.64
wheat,0.617,886.13,25.1,76.15,7.5,255.16,26.2,161.69,0.5926,-0.0468,0.3116,4.96,0.2284,0.3082,56.19
cotton,2.98,765.16,28.35,75.14,7.5,220.86,7.42,142.93,0.659,-0.1562,0.2055,2.325,0.1423,0.1723,55.38
maize,0.682,483.37,26.35,83.04,6.49,194.18,16.23,125.05,0.8332,0.0169,0.3336,6.918,0.1345,0.2491,29.18
maize,3.269,851.79,22.11,82.51,6.46,236.2,23.1,83.83,0.7612,0.0217,0.3361,6.531,0.154,0.1177,32.88
rice,6.968,397.93,27.61,81.63,6.7,209.13,12.31,193.52,0.7589,-0.0648,0.3503,5.742,0.2129,0.2187,27.6
maize,3.401,529.74,22.67,74.93,6.57,344.96,28.55,179.7,0.7219,0.0407,0.2816,6.132,0.1751,0.2127,20.37
chickpea,3.143,955.89,28.64,68.17,6.67,258.88,17.17,122.41,0.7542,-0.3191,0.1136,2.757,0.15,0.0661,26.29
soybean,7.486,863.42,30.12,72.7,6.52,253.62,36.88,116.09,0.7858,-0.3543,0.2539,4.129,0.2418,0.209,32.16
cotton,6.255,890.88,27.31,62.33,5.32,267.41,32.26,196.07,0.7321,-0.2065,0.1486,2.669,0.0822,0.0432,31.52
soybean,1.032,369.98,34.39,71.89,6.88,183.01,19.93,173.54,0.6515,-0.3677,0.1053,2.59,0.3588,0.3833,66.15
cotton,8.102,404.41,33.05,72.3,6.59,194.17,16.4,172.94,0.7021,-0.2127,0.1924,1.717,0.2784,0.3269,72.97
wheat,4.13,712.21,28.93,71.06,6.95,182.23,39.91,114.84,0.8323,-0.1991,0.2822,4.982,0.0984,0.1417,21.89
soybean,2.802,506.07,26.5,84.55,7.86,254.1,28.01,216.5,0.7339,-0.0596,0.2274,3.442,0.3886,0.1997,49.76
